ID	BUILDING_NAME	FLOOR_NUMBER	ROOM_#	ROOM_TYPE
1	ADVANCEMENT SERVICES BUILDING	1	104	Womens
2	ADVANCEMENT SERVICES BUILDING	1	105	Mens
3	ALUMNI HALL	0	002	Mens
4	ALUMNI HALL	0	005	Womens
5	ALUMNI HALL	1	105	Vestibule
6	ALUMNI HALL	1	105A	Mens
7	ALUMNI HALL	1	107	Vestibule
8	ALUMNI HALL	1	107A	Womens
9	ALUMNI HALL	2	202	Vestibule
10	ALUMNI HALL	2	202A	Mens
11	ALUMNI HALL	2	204	Vestibule
12	ALUMNI HALL	2	204A	Womens
13	ANDERSON HALL	0	011	Staff
14	ANDERSON HALL	0	012	Mens
15	ARMSTRONG STUDENT CENTER	0	0008	
16	ARMSTRONG STUDENT CENTER	0	0042	All Gender
17	ARMSTRONG STUDENT CENTER	0	0046	Mens
18	ARMSTRONG STUDENT CENTER	0	0050	Womens
19	ARMSTRONG STUDENT CENTER	1	1031A	Staff Mens
20	ARMSTRONG STUDENT CENTER	1	1031B	Staff Womens
21	ARMSTRONG STUDENT CENTER	1	1058	Family
22	ARMSTRONG STUDENT CENTER	1	1060A	Womens
23	ARMSTRONG STUDENT CENTER	1	1060B	Mens
24	ARMSTRONG STUDENT CENTER	1	1083	Mens
25	ARMSTRONG STUDENT CENTER	1	1085	Womens
26	ARMSTRONG STUDENT CENTER	2	2005	Staff Restroom
27	ARMSTRONG STUDENT CENTER	2	2032	Womens
28	ARMSTRONG STUDENT CENTER	2	2034	Mens
29	ARMSTRONG STUDENT CENTER	2	2036	All Gender
30	ARMSTRONG STUDENT CENTER	2	2039A	Womens
31	ARMSTRONG STUDENT CENTER	2	2039B	Mens
32	ARMSTRONG STUDENT CENTER	2	2041	Womens
33	ARMSTRONG STUDENT CENTER	2	2043	Mens
34	ARMSTRONG STUDENT CENTER	2	2068A	All Gender
35	ARMSTRONG STUDENT CENTER	2	2068B	All Gender
36	ARMSTRONG STUDENT CENTER	2	2081	Mens
37	ARMSTRONG STUDENT CENTER	2	2083	Womens
38	ARMSTRONG STUDENT CENTER	3	3006	All Gender
39	ARMSTRONG STUDENT CENTER	3	3047	Womens
40	ARMSTRONG STUDENT CENTER	3	3049	Mens
41	ARMSTRONG STUDENT CENTER	3	3050	All Gender
42	ART BUILDING	0	008	Mens
43	ART BUILDING	0	010	Womens
44	ART BUILDING	1	109	Womens
45	ART BUILDING	1	111	Mens
46	ART BUILDING	2	216	Mens
47	ART BUILDING	2	218	Womens
48	ART MUSEUM	1	107	Mens
49	ART MUSEUM	1	108	Womens
50	ATHLETIC PERFORMANCE CENTER	1	101B	
51	ATHLETIC PERFORMANCE CENTER	1	106A	
52	ATHLETIC PERFORMANCE CENTER	2	203	
53	ATHLETIC PERFORMANCE CENTER	2	204	
54	BACHELOR HALL	0	030	Mens
55	BACHELOR HALL	0	032	Womens
56	BACHELOR HALL	1	103	Staff
57	BACHELOR HALL	1	104	All Gender
58	BACHELOR HALL	1	109	Womens
59	BACHELOR HALL	1	111	Mens
60	BACHELOR HALL	1	126	Womens
61	BACHELOR HALL	1	128	Mens
62	BACHELOR HALL	2	247	Mens
63	BACHELOR HALL	2	249	Womens
64	BACHELOR HALL	2	291	Mens
65	BACHELOR HALL	2	293	Womens
